2025-09-30 11:51:37,618 ; INFO ; pump_execution ; MainThread ; Moving 3.0 mL from flask_glacial acetic acid (0) to waste_G (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,619 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_glacial acetic acid -3.0 mL. Setting to 0.
2025-09-30 11:51:37,620 ; INFO ; pump_execution ; MainThread ; Moving 3.0 mL from flask_glacial acetic acid (0) to waste_Z (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,620 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_glacial acetic acid -3.0 mL. Setting to 0.
2025-09-30 11:51:37,621 ; INFO ; pump_execution ; MainThread ; Moving 3.0 mL from flask_glacial acetic acid (0) to waste_H (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,622 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_glacial acetic acid -3.0 mL. Setting to 0.
2025-09-30 11:51:37,623 ; INFO ; pump_execution ; MainThread ; Moving 15.0 mL from flask_glacial acetic acid (0) to reactor (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,623 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_glacial acetic acid -15.0 mL. Setting to 0.
2025-09-30 11:51:37,623 ; INFO ; chempiler ; MainThread ; Waiting for 10.0 seconds...
2025-09-30 11:51:37,624 ; INFO ; pump_execution ; MainThread ; Moving 5.0 mL from flask_nitrogen (0) to reactor (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,625 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_nitrogen -5.0 mL. Setting to 0.
2025-09-30 11:51:37,626 ; INFO ; pump_execution ; MainThread ; Moving 3.0 mL from flask_2,6-Dimethylaniline (0) to waste_H (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,627 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_2,6-Dimethylaniline -3.0 mL. Setting to 0.
2025-09-30 11:51:37,627 ; INFO ; pump_execution ; MainThread ; Moving 3.0 mL from flask_2,6-Dimethylaniline (0) to reactor (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,628 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_2,6-Dimethylaniline -3.0 mL. Setting to 0.
2025-09-30 11:51:37,628 ; INFO ; chempiler ; MainThread ; Waiting for 10.0 seconds...
2025-09-30 11:51:37,629 ; INFO ; pump_execution ; MainThread ; Moving 5.0 mL from flask_nitrogen (0) to reactor (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,629 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_nitrogen -5.0 mL. Setting to 0.
2025-09-30 11:51:37,630 ; INFO ; pump_execution ; MainThread ; Moving 3.0 mL from flask_glacial acetic acid (0) to waste_Z (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,630 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_glacial acetic acid -3.0 mL. Setting to 0.
2025-09-30 11:51:37,631 ; INFO ; pump_execution ; MainThread ; Moving 3.0 mL from flask_chloroacetyl chloride (0) to waste_H (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,631 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_chloroacetyl chloride -3.0 mL. Setting to 0.
2025-09-30 11:51:37,632 ; INFO ; pump_execution ; MainThread ; Moving 2.0 mL from flask_chloroacetyl chloride (0) to reactor (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,633 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_chloroacetyl chloride -2.0 mL. Setting to 0.
2025-09-30 11:51:37,633 ; INFO ; chempiler ; MainThread ; Waiting for 10.0 seconds...
2025-09-30 11:51:37,634 ; INFO ; pump_execution ; MainThread ; Moving 5.0 mL from flask_nitrogen (0) to reactor (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,634 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_nitrogen -5.0 mL. Setting to 0.
2025-09-30 11:51:37,635 ; INFO ; pump_execution ; MainThread ; Moving 3.0 mL from flask_glacial acetic acid (0) to waste_G (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,635 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_glacial acetic acid -3.0 mL. Setting to 0.
2025-09-30 11:51:37,637 ; INFO ; pump_execution ; MainThread ; Moving 3.0 mL from flask_glacial acetic acid (0) to waste_H (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,637 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_glacial acetic acid -3.0 mL. Setting to 0.
2025-09-30 11:51:37,638 ; INFO ; pump_execution ; MainThread ; Moving 15.0 mL from flask_glacial acetic acid (0) to reactor (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,638 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_glacial acetic acid -15.0 mL. Setting to 0.
2025-09-30 11:51:37,639 ; INFO ; chempiler ; MainThread ; Waiting for 10.0 seconds...
2025-09-30 11:51:37,640 ; INFO ; pump_execution ; MainThread ; Moving 5.0 mL from flask_nitrogen (0) to reactor (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,640 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_nitrogen -5.0 mL. Setting to 0.
2025-09-30 11:51:37,642 ; INFO ; pump_execution ; MainThread ; Moving 3.0 mL from flask_half-saturated aqueous sodium acetate (0) to waste_H (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,642 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_half-saturated aqueous sodium acetate -3.0 mL. Setting to 0.
2025-09-30 11:51:37,643 ; INFO ; pump_execution ; MainThread ; Moving 25.0 mL from flask_half-saturated aqueous sodium acetate (0) to reactor (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,644 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_half-saturated aqueous sodium acetate -25.0 mL. Setting to 0.
2025-09-30 11:51:37,644 ; INFO ; chempiler ; MainThread ; Waiting for 10.0 seconds...
2025-09-30 11:51:37,645 ; INFO ; pump_execution ; MainThread ; Moving 5.0 mL from flask_nitrogen (0) to reactor (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
2025-09-30 11:51:37,645 ; WARNING ; pump_execution ; MainThread ; Negative flask volume: flask_nitrogen -5.0 mL. Setting to 0.
2025-09-30 11:51:37,646 ; INFO ; pump_execution ; MainThread ; Moving 3.0 mL from flask_glacial acetic acid (0) to waste_G (0). (Speed - Initial: 10.0, Mid: 40.0, End: 40.0)
